Temperature (°C),Humidity (%),Continent
23.48,58,Asia
25.92,73,Asia
23.05,68,Asia
25.99,89,Asia
4.47,61,Europe
8.06,84,Europe
7.55,81,Europe
11.53,80,Europe
18.8,80,North America
18.11,78,North America
9.57,63,North America
16.64,55,North America
17.45,90,South America
21.98,83,South America
18.17,81,South America
18.83,78,South America
24.67,92,Africa
25.42,69,Africa
25.21,83,Africa
17.15,65,Africa
23.22,62,Australia
24.95,78,Australia
15.92,65,Australia
23.34,60,Australia
21.44,89,Asia
26.92,74,Asia
22.05,78,Asia
28.99,74,Asia
1.65,71,Europe
10.05,92,Europe
11.03,82,Europe
13.19,96,Europe
12.49,47,North America
18.45,77,North America
11.1,74,North America
17.75,46,North America
18.43,82,South America
23.2,81,South America
19.57,74,South America
17.17,82,South America
23.94,91,Africa
22.42,78,Africa
27.18,78,Africa
15.77,65,Africa
20.07,76,Australia
22.15,62,Australia
17.9,56,Australia
27.93,62,Australia
