Temperature (°C),Wind Speed (m/s),Continent
23.48,5.14,Asia
25.92,3.0,Asia
23.05,1.54,Asia
25.99,2.57,Asia
4.47,6.65,Europe
8.06,1.54,Europe
7.55,5.66,Europe
11.53,3.09,Europe
18.8,4.47,North America
18.11,4.63,North America
9.57,7.72,North America
16.64,5.14,North America
17.45,6.17,South America
21.98,4.12,South America
18.17,6.26,South America
18.83,6.69,South America
24.67,2.09,Africa
25.42,0.0,Africa
25.21,3.09,Africa
17.15,4.58,Africa
23.22,3.09,Australia
24.95,2.06,Australia
15.92,7.2,Australia
23.34,5.14,Australia
21.44,4.63,Asia
26.92,5.0,Asia
22.05,1.03,Asia
28.99,1.54,Asia
1.65,1.45,Europe
10.05,1.54,Europe
11.03,2.68,Europe
13.19,4.63,Europe
12.49,4.47,North America
18.45,4.63,North America
11.1,4.12,North America
17.75,8.23,North America
18.43,4.12,South America
23.2,3.09,South America
19.57,4.47,South America
17.17,5.66,South America
23.94,1.33,Africa
22.42,2.06,Africa
27.18,0.0,Africa
15.77,1.54,Africa
20.07,1.79,Australia
22.15,7.2,Australia
17.9,7.6,Australia
27.93,2.68,Australia
