Temperature (°C),Wind Speed (m/s),Continent
17.54,0.89,Asia
22.92,2.0,Asia
26.05,1.03,Asia
25.99,3.09,Asia
6.42,6.65,Europe
8.4,0.45,Europe
11.12,8.75,Europe
11.74,2.57,Europe
21.46,4.12,North America
20.6,3.09,North America
11.95,7.2,North America
17.84,2.57,North America
19.45,7.72,South America
25.21,8.23,South America
18.34,1.79,South America
19.14,4.63,South America
25.19,3.61,Africa
31.42,2.06,Africa
27.39,1.92,Africa
23.79,2.25,Africa
12.7,0.89,Australia
28.6,4.12,Australia
8.96,2.06,Australia
16.65,2.06,Australia
